,archor,url
98,计算机学院2022级学硕班主题团日活动2022-11-20,http://cc.nankai.edu.cn/2022/1120/c13296a496047/page.htm
99,计算机学院2020级硕士生党支部开展主题党日活动2022-11-20,http://cc.nankai.edu.cn/2022/1120/c13296a496040/page.htm
100,我院本科生党支部联合开展“学习二十大永远跟党走”主题党日活动2022-11-18,http://cc.nankai.edu.cn/2022/1118/c13296a495835/page.htm
101,就业信息More,http://cc.nankai.edu.cn/13299/list.htm
102,青岛海尔学校2023年秋季教师招聘2022-12-01,http://cc.nankai.edu.cn/2022/1201/c13299a499411/page.htm
103,建信融通2023年校园招聘2022-11-30,http://cc.nankai.edu.cn/2022/1130/c13299a499139/page.htm
104,CVTE视源股份-销售岗位招聘2022-11-30,http://cc.nankai.edu.cn/2022/1130/c13299a499138/page.htm
105,丰疆智能2023校园招聘2022-11-26,http://cc.nankai.edu.cn/2022/1126/c13299a498247/page.htm
106,学院概况,http://cc.nankai.edu.cn/13256/list.htm
107,学院领导,http://cc.nankai.edu.cn/xxld/list.htm
108,学院党委,http://cc.nankai.edu.cn/xydw/list.htm
109,组织结构,http://cc.nankai.edu.cn/13280/list.htm
110,学科学术分委会,http://cc.nankai.edu.cn/xkxsfwh/list.htm
111,学位评定分委会,http://cc.nankai.edu.cn/xwpdfwh/list.htm
112,教代会、工会委员会,http://cc.nankai.edu.cn/jdhwghwyh/list.htm
113,专业技术职务评审分委员会,http://cc.nankai.edu.cn/zyjszwpsfwh/list.htm
114,学科结构,http://cc.nankai.edu.cn/13262/list.htm
115,计算机科学与技术学科,http://cc.nankai.edu.cn/13263/list.htm
116,教授/研究员,http://cc.nankai.edu.cn/jswyjy/list.htm
117,副教授/副研究员,http://cc.nankai.edu.cn/fjswfyjy/list.htm
118,讲师,http://cc.nankai.edu.cn/js/list.htm
119,实验教学队伍,http://cc.nankai.edu.cn/syjxdw/list.htm
120,博士后,http://cc.nankai.edu.cn/bsh/list.htm
121,兼职教授,http://cc.nankai.edu.cn/jzjs/list.htm
122,本科教育,http://cc.nankai.edu.cn/13272/list.htm
123,研究生教育,http://cc.nankai.edu.cn/13273/list.htm
124,硕士生导师,http://cc.nankai.edu.cn/13274/list.htm
125,博士生导师,http://cc.nankai.edu.cn/bssds/list.htm
126,系所中心,http://cc.nankai.edu.cn/13280/list.htm
127,学术团队,http://cc.nankai.edu.cn/13281/list.htm
128,合作院校分布,http://cc.nankai.edu.cn/13289/list.htm
129,联合培养项目,http://cc.nankai.edu.cn/13290/list.htm
130,最新动态,http://cc.nankai.edu.cn/13291/list.htm
131,学院公告,http://cc.nankai.edu.cn/13292/list.htm
132,学生工作通知,http://cc.nankai.edu.cn/13293/list.htm
133,科研信息,http://cc.nankai.edu.cn/13294/list.htm
134,本科生教学,http://cc.nankai.edu.cn/13295/list.htm
135,党团园地,http://cc.nankai.edu.cn/13296/list.htm
136,研究生招生,http://cc.nankai.edu.cn/13297/list.htm
137,研究生教学,http://cc.nankai.edu.cn/13298/list.htm
